id,phase,epic,title,priority,depends_on,acceptance,estimate_class,gap_ids,review_scope,validation_status
B096,A:S09,Analysis automation,Implement named AAT contrasts with reference check,P0,B007;B060;B008,Scoring follows declared direction onset and trial exclusion rules,M,IM-G01;IM-G02;IM-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B097,A:S09,Analysis automation,Implement EDA feature and baseline outputs,P0,B037;B089,Selected tonic or phasic features agree with qualified reference and name units,M,BIO-G05,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B098,A:S09,Analysis automation,Implement qualified EEG spectral output,P0,B038;B039;B089,Named method frequency bands windows and reference produce expected fixture values,M,BIO-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B099,A:S09,Analysis automation,Implement explicit liking scale coding,P0,B048;B061;B010,Stored scale direction missingness and optional reverse coding match dictionary,S,,,Planned; implementation and validation remain
B100,A:S09,Analysis automation,Link explicit and modality outcomes by participant stimulus,P0,B091;B097;B098;B099,Joined analysis retains modality-specific counts and forbids silent many-to-many joins,M,BIO-G08;IM-G08;UX-G05;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B101,A:S09,Analysis automation,Implement exploratory and sensitivity revisions,P0,B089;B034,Post hoc plan edits preserve original result and show changed assumptions,M,BIO-G08;IM-G07;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B102,A:S09,Analysis automation,Handle insufficient and non-estimable model results,P0,B091;B092;B094,Missing cells singular models and inadequate information return explanation not fabricated scores,M,BIO-G08;IM-G08;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B103,A:S10,Evidence UX,Build result cards with operational definitions,P0,B090;B095;B096;B097;B098,"Every number links to definition inputs exclusions and configuration revision Review UX-G10: Each outcome displays its own participant/item count, inclusion rule, unit, estimand, interval type, qualification and review status. Eye-invalid/survey-valid data need separate eligible counts; TTFF retains declared non-looker/censoring states; no universal attention/emotion score is introduced. Review IM-G08: Declare per-outcome unit, eligible observations, denominator, missingness and uncertainty. Eye invalidity cannot automatically remove valid ratings or implicit trials. An exposure-level liking response cannot become AOI-level liking without an explicitly defined model.",M,BIO-G09;IM-G08;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B104,A:S10,Evidence UX,Provide plain-language recipe conclusions,P0,B103,Rules-based narrative matches effect uncertainty and estimand without unsupported interpretation,M,UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B105,A:S10,Evidence UX,Build accessible result tables and chart alternatives,P0,B103,Keyboard and screen-reader users can inspect values units groups and uncertainty,M,UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B106,A:S10,Reporting,Generate automatic methods and quality appendix,P0,B018;B082;B103,Report includes applied methods retained sample and all relevant exclusions,M,UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B107,A:S10,Reporting,Generate linked questionnaire dictionary appendix,P0,B045;B099;B106,Question wording coding logic revision and derived scores accompany results,S,,,Planned; implementation and validation remain
B108,A:S10,Reporting,Export executable R and Quarto bundle,P0,B018;B103;B106,Independent clean environment reproduces declared outputs from included permitted inputs,M,,,Planned; implementation and validation remain
B109,A:S10,Reporting,Prevent stale result cards in final export,P0,B034;B103,Changed dependencies require refresh or clearly frozen historical report selection,S,ARC-G05;BIO-G09;UX-G04;UX-G14;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B110,A:S10,Reporting,Build report preview and render retry,P0,B106;B108,Render failure can be retried without repeating analysis and layout is reviewed,M,ARC-G04;UX-G09;UX-G14,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B111,A:S10,Reproducibility,Build run history and configuration diff,P0,B018;B034,User compares exact input method AOI and analysis versions between runs,M,,,Planned; implementation and validation remain
B112,A:S10,Guided UX,Complete sample-to-report automated happy path,P0,B015;B089;B104;B108,Sample completes Plan Questions Collect Review Results in at most 5 total activations with zero report configuration,M,UX-G03;UX-G07;UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B113,A:S11,Guided UX,Validate novice time decision and action targets,P0,B112;B004,"Measure targets: sample at most 10 minutes and 5 total activations; prepared real study at most 4 substantive design decisions and 12 total activations including file chooser; next participant at most 4 activations; zero report configuration Review UX-G03,UX-G07,UX-G10: Keep canonical whole-path counts including chooser actions, report typing/hardware/exception work separately, and jointly evaluate completion, scientific correctness and explanation of uncertainty; speed alone cannot pass.",M,UX-G03;UX-G07;UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B114,A:S11,Guided UX,Improve exception recovery from novice pilots,P0,B081;B113,Seeded import quality and AOI problems can be resolved without restarting the study,M,UX-G03;UX-G07;UX-G10;UX-G16,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B115,A:S11,Accessibility,Audit researcher critical path against WCAG target,P0,B070;B105;B112,"Keyboard focus semantics and chart alternatives tested manually with assistive technology Review UX-G11: Audit complete keyboard/AT tasks including editable AOI geometry, matrix anchors/reversed direction, retained-answer layout changes, focus restoration, error recovery and accessible report equivalents. Apply participant-specific checks to B116; diagnostics alone do not pass either audit.",M,UX-G04;UX-G11;UX-G16,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B116,A:S11,Accessibility,Audit participant question and instruction paths,P0,B061;B054;B055,Labels errors branch focus matrix alternatives and resize behaviours verified,M,UX-G04;UX-G08;UX-G11;UX-G16,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B117,A:S11,Reliability,Exercise restart crash and disk-failure cases,P0,B033;B017;B108,"Supported failures preserve raw data and expose recoverable states Review UX-G09: Kill a worker, reconnect the interface and retry the same logical command. One artifact/report is published, saved progress resumes via event cursor, completed upstream work is reused, and original failure evidence remains available.",M,ARC-G06;UX-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B118,A:S11,Performance,Benchmark declared representative datasets,P0,B112,Results name dataset hardware duration memory and failure behaviour,M,ARC-G06;ARC-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B119,A:S11,Documentation,Write guided first-eye-study tutorial,P0,B112;B113,Undergraduate pilot follows tutorial to explain and reproduce a result,M,UX-G03;UX-G07;UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B120,A:S11,Documentation,Write operator and analyst troubleshooting,P0,B114;B117,Top observed failures have accurate local recovery instructions,S,UX-G16,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B121,A:S12,Alpha release,Package clean-machine integrated alpha,P0,B115;B116;B117;B119,Fresh supported machine installs runs sample and exports reproducible report,M,ARC-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B122,A:S12,Alpha release,Publish supported alpha capability matrix locally,P0,B121;B066,Import live simulator and method maturity labels distinguish actual support,S,UX-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B123,A:S12,Alpha release,Document first migration and rollback rehearsal,P0,B121,Saved study upgrades reversibly without losing raw data or revision meaning,M,ARC-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B124,A:S12,Alpha release,Run independent integrated-alpha reproduction,P0,B108;B121,External reviewer reproduces selected eye EEG EDA behaviour and survey outputs,M,,,Planned; implementation and validation remain
B125,A:S12,Alpha release,Triage pilot findings and scope next gates,P0,B113;B124,G3-G5 dependencies capacity assumptions and remaining qualification work explicit,S,,,Planned; implementation and validation remain
B126,B:G3,Live acquisition,Implement sidecar lifecycle and capability handshake,P0,B011;B012;B032,Start stop health and version negotiation work without coupling acquisition to UI process,M,ARC-G06;BIO-G01,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B127,B:G3,Live acquisition,Implement reference eye tracker connection,P0,B126;B019,Named device firmware OS and SDK provide required channels with original timestamps,L,,,Planned; implementation and validation remain
B128,B:G3,Live acquisition,Implement eye calibration and quality session,P0,B127,Calibration result accuracy precision and failure recovery stored per session,M,BIO-G02;UX-G06;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B129,B:G3,Live acquisition,Implement reference EEG amplifier connection,P0,B126;B020,Named amplifier retains channel scale sample clock triggers and health metadata,L,,,Planned; implementation and validation remain
B130,B:G3,Live acquisition,Implement EEG contact and channel health panel,P0,B129,Available device health measures are labelled and unsupported values never fabricated,M,BIO-G02;UX-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B131,B:G3,Live acquisition,Implement reference EDA device connection,P0,B126;B021,Named device streams conductance and timestamps with disconnect recovery,L,,,Planned; implementation and validation remain
B132,B:G3,Live acquisition,Implement EDA signal preparation check,P0,B131,Flatline range and movement artefacts surface with actionable operator guidance,M,BIO-G02;UX-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B133,B:G3,Live acquisition,Implement physical AAT joystick support,P0,B060;B126,Qualified axis calibration neutral position movement onset and completion recorded,L,IM-G01;IM-G02;IM-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B134,B:G3,Synchronization,Implement shared trigger and marker path,P0,B127;B129;B131;B056,Events link across runner and devices while retaining source clock uncertainty,M,BIO-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B135,B:G3,Synchronization,Validate physical stimulus-to-EEG event timing,P0,B065;B134,Measured timing meets prespecified requirements for each claimed EEG protocol,M,BIO-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B136,B:G3,Synchronization,Validate long-run drift and dropped markers,P0,B134;B030,Reference test detects drift loss and recovery without silent time interpolation,M,BIO-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B137,B:G3,Live acquisition,Implement supported local buffering and reconnect,P0,B126;B134,Supported stream gaps and replay preserve order and mark unavailable intervals,M,ARC-G03;BIO-G01;UX-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B138,B:G3,Control room,Build combined live session dashboard,P0,B128;B130;B132;B134,Operator sees each stream health event status and participant progress together Review UX-G07: Next participant creates fresh allocation/answers/consent/calibration state while reusing only valid rig evidence; interrupted attempts use the frozen resume/repeat/stop policy and new exposure IDs. Verify shared-device isolation and the four-activation operator path.,M,ARC-G08;BIO-G01;UX-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B139,B:G3,Control room,Implement operator annotations and safe stop,P0,B138,Annotations use shared events and stopping records exact completion state,M,UX-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B140,B:G3,Live acquisition,Run full eye EEG EDA behavioural rig stress test,P0,B135;B136;B137;B138,Complete flagship session passes capture recovery and event-linkage acceptance matrix,L,BIO-G01;BIO-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B141,B:G4,Method qualification,Qualify launch EEG spectral pipeline,P0,B098;B129;B135,Independent reference results and named rig data satisfy documented method tolerances,M,BIO-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B142,B:G4,Method qualification,Implement and qualify optional event-related EEG recipe,P1,B141;B135,Epoch baseline rejection and waveform fixtures pass for specifically supported protocol,L,BIO-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B143,B:G4,Method qualification,Qualify launch EDA feature pipeline,P0,B097;B131;B132,Reference and rig outputs agree with stated preprocessing and quality rules,M,BIO-G05,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B144,B:G4,Method qualification,Qualify BIAT execution and scoring on launch matrix,P0,B095;B065;B067,Timing instruction comprehension and scoring evidence tied to exact recipe version,M,IM-G01;IM-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B145,B:G4,Method qualification,Qualify physical AAT execution and scoring,P0,B096;B133;B065,Input-specific event timing errors exclusions and derived contrasts pass references,M,IM-G01;IM-G02;IM-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B146,B:G4,Questionnaire qualification,Qualify declared launch types and logic combinations,P0,B053;B054;B055;B116,"Coverage matrix records passed types branching piping randomization and accessible paths Review UX-G05,UX-G08: For finite declared fixtures enumerate all paths; for unbounded conditions report branch/outcome, representative and boundary checks plus unsupported cases. Inspect-all creates no runtime pass credit. Define coverage semantics during compiler work and execute the full qualification matrix at B146.",M,UX-G05;UX-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B147,B:G4,Analysis qualification,Validate explicit-liking and biovital integrated analysis,P0,B100;B141;B143;B146,"Participant stimulus linkage model unit and missingness checked against independent fixture Review UX-G10,UX-G15: An eye-invalid/survey-valid participant yields distinct correct denominators, partial runs obey outcome eligibility, and TTFF never-looked/censored/tracking-loss cases remain distinct. Zero or non-estimable outcomes explain absence rather than emit fabricated scores.",M,IM-G08;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B148,B:G4,AOI qualification,Qualify static AOI proposal and review workflow,P0,B087;B128,Held-out metric error and review-time targets pass for named use cases,M,BIO-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B149,B:G4,Commercial pilot,Run complete flagship consumer study pilot,P0,B140;B144;B145;B146;B147;B148,Researchers finish acquisition review integrated analysis and report at agreed quality bar,L,BIO-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B150,B:G5,Launch release,Close severe pilot and data-loss defects,P0,B149,No unresolved data-loss or launch-blocking method defects remain,M,,,Planned; implementation and validation remain
B151,B:G5,Launch release,Verify clean-machine full launch installation,P0,B150;B121,Named full rig and sample workflow install from documented instructions,M,,,Planned; implementation and validation remain
B152,B:G5,Open source,Prepare original project identity and repository layout,P0,B151,README quickstart examples modules and supported scope use original identity,S,,,Planned; implementation and validation remain
B153,B:G5,Open source,Document licence and third-party inventory,P0,B152,Code assets SDKs models and fixtures have explicit compatible distribution status,M,,,Planned; implementation and validation remain
B154,B:G5,Open source,Add contributor guide and targeted test instructions,P0,B152,New contributor can run fixture checks and find a bounded issue,M,,,Planned; implementation and validation remain
B155,B:G5,Open source,Add issue templates and support routes,P0,B154,Bug report captures versions reproducible example and no required participant data,S,,,Planned; implementation and validation remain
B156,B:G5,Open source,Add method and device capability documentation,P0,B144;B145;B146;B148;B154,Experimental implementation-qualified and configuration-qualified labels are distinct,M,UX-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B157,B:G5,Open source,Prepare release notes and reproducible public demo,P0,B153;B156,Demo contains redistributable or synthetic materials and reproduces documented outputs,M,,,Planned; implementation and validation remain
B158,B:G5,Open source,Review concrete repository release contents,P0,B157,No participant data secrets unlicensed SDK binaries or unsupported claims in publish bundle,S,,,Planned; implementation and validation remain
B159,C:G6,Video foundation,Preserve video frame presentation and media clock,P1,B029;B040,Variable-frame-rate media maps events and displayed frames without index assumptions,M,,,Planned; implementation and validation remain
B160,C:G6,Video AOI,Implement temporal AOI validity and keyframes,P1,B068;B159,Geometry visibility and interpolation are versioned per time range,M,,,Planned; implementation and validation remain
B161,C:G6,Video AOI,Implement manual keyframe correction and preview,P1,B160;B070,Corrections preview affected frames and support undo without overwriting approved history,M,,,Planned; implementation and validation remain
B162,C:G6,Video AOI,Integrate optional object tracking proposals,P1,B160;B074,Track origin model version and review states accompany every proposed segment,L,,,Planned; implementation and validation remain
B163,C:G6,Video AOI,Detect scene cuts occlusion and identity changes,P1,B162,Held-out cases route uncertain transitions to explicit review rather than stale geometry,M,,,Planned; implementation and validation remain
B164,C:G6,Video AOI,Build ranked batch review and representative sampling,P1,B163;B085,Low confidence and stratified random samples both enter review,M,,,Planned; implementation and validation remain
B165,C:G6,Video AOI,Benchmark dynamic AOI downstream metric error,P1,B164;B086;B077,Independent holdout reports geometry visibility identity and gaze-metric errors,L,,,Planned; implementation and validation remain
B166,C:G6,Video AOI,Graduate bounded policy-based AOI approval,P2,B165,Use-case thresholds audit rollback and drift alerts defined before automatic promotion,M,,,Planned; implementation and validation remain
B167,C:G6,Web AOI,Capture DOM element state and coordinate metadata,P1,B072;B068,Selector bounding box viewport scroll breakpoint and page revision retained,M,,,Planned; implementation and validation remain
B168,C:G6,Web AOI,Handle absent and responsive DOM elements,P1,B167,Layout change or missing element creates explicit remap or review state,M,,,Planned; implementation and validation remain
B169,C:G6,Reading recipe,Generate word line and region AOI candidates,P1,B167;B076,DOM or OCR proposal preserves layout and requires review of uncertain text geometry,M,,,Planned; implementation and validation remain
B170,C:G6,Reading recipe,Implement reading metric and item model package,P1,B169;B092,First-pass total-time and regressions have independent fixtures and appropriate item structure,M,,,Planned; implementation and validation remain
B171,C:G6,Video recipe,Complete automated video-ad moment analysis,P1,B165;B092,Windows exposure denominators repeated measures and exploratory contrasts appear in report,M,,,Planned; implementation and validation remain
B172,C:G6,Visual search recipe,Complete target-present and absent study builder,P1,B094;B041,Generated allocation and analysis distinguish absent target censoring and tracking loss,M,,,Planned; implementation and validation remain
B173,C:G6,Questionnaire expansion,Implement ranking with keyboard alternative,P2,B146,Pointer and keyboard ranking produce identical order with clear focus,M,,,Planned; implementation and validation remain
B174,C:G6,Questionnaire expansion,Implement reusable scales and documented scoring,P1,B146;B099,Scale metadata rights reverse coding and validation source accompany recipe,M,,,Planned; implementation and validation remain
B175,C:G6,Questionnaire expansion,Implement translation and locale workflow,P2,B146;B010,Translation retains stable question IDs while displayed language version remains traceable,M,,,Planned; implementation and validation remain
B176,C:G6,Questionnaire expansion,Implement quotas and controlled survey termination,P2,B146;B042,Quota concurrency and termination outcomes do not corrupt participant allocation,M,,,Planned; implementation and validation remain
B177,C:G6,Questionnaire expansion,Implement bounded loops and repeated question groups,P2,B052;B146,Loop limits and item identities prevent nontermination and ambiguous exports,M,,,Planned; implementation and validation remain
B178,C:G6,Collaboration,Implement self-hosted authentication and roles,P1,B016;B158;B232,"Reader operator analyst and administrator scopes enforce tested actions Review UX-G14: Verify audience restrictions, future-access revocation, denied/expired link states and media scope for the new sharing feature; verify frozen snapshots remain unchanged and exported accessible bundles identify exact inputs. New grant creation/revocation implementation remains in UXV2-B14.",L,ARC-G06;UX-G13;UX-G14,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B179,C:G6,Collaboration,Implement optimistic revision conflict handling,P1,B178;B044,Concurrent edits show conflict and preserve both recoverable versions,M,UX-G13,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B180,C:G6,Collaboration,Implement report-scoped review and approval,P1,B178;B109,Review decisions link to frozen report revision and changed results invalidate approval,M,ARC-G05;UX-G04;UX-G13;UX-G14,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B181,C:G6,Operations,Implement durable multi-user job isolation,P1,B178;B032,Concurrent study jobs preserve workspace boundaries and recover independently,L,ARC-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B182,C:G6,Operations,Implement backup restore and migration fixtures,P1,B181;B123,Restored study reproduces selected outputs and preserves revisions,M,ARC-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B183,A:S02,Privacy and data scope,Separate participant identity from research identifiers,P0,B016;B010,Export and role tests exclude optional identity mapping unless explicitly requested,M,ARC-G06;UX-G07;UX-G14,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B184,C:G6,Privacy and data scope,Implement scoped withdrawal and retention workflow,P1,B183;B178,Preview identifies raw derived and report artefacts affected by configured policy,M,UX-G14,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B185,C:G6,Extensions,Define versioned recipe and method extension SDK,P1,B156;B009,Example plugin declares dependencies methods fixtures and maturity,M,ARC-G07;UX-G13,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B186,C:G6,Extensions,Build local extension compatibility checker,P1,B185,Incompatible or missing dependencies are identified before run,M,ARC-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B187,C:G6,Extensions,Build fixture-based adapter contribution template,P1,B185;B011,Contributor can implement simulator contract without requiring proprietary hardware for all checks,M,,,Planned; implementation and validation remain
B188,C:G6,Extensions,Build recipe library provenance and maturity views,P1,B185;B156,"Source implementation validation configuration qualification and updates are distinct Review UX-G13: A pinned tutor/team recipe produces an attributed draft with independent observations; upstream changes show an impact comparison and never upgrade active sessions silently. B179 owns conflicts, B180 owns revision-scoped feedback/approval, and B178 owns optional workspace policy. Do not add compulsory review to the sample.",M,ARC-G07;UX-G13,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B189,C:G6,Implicit method packs,Implement full IAT recipe and scoring reference,P1,B095;B185,Full protocol and exact scoring variant validated independently of BIAT,M,IM-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B190,C:G6,Implicit method packs,Implement SC-IAT as separate qualified recipe,P2,B185;B065,Protocol stimuli scoring and validation fixtures specific to SC-IAT,L,,,Planned; implementation and validation remain
B191,C:G6,Implicit method packs,Implement AMP as separate qualified recipe,P2,B185;B065,Prime timing response logic and inference definitions independently reviewed,L,,,Planned; implementation and validation remain
B192,C:G6,Implicit method packs,Implement affective priming protocol pack,P2,B185;B065,SOA masking and physical timing requirements qualified for supported matrix,L,,,Planned; implementation and validation remain
B193,C:G6,Implicit method packs,Implement GNAT protocol pack,P2,B185;B065,Deadlines response sensitivity scoring and exclusions pass independent fixtures,L,,,Planned; implementation and validation remain
B194,C:G6,Implicit method packs,Implement Stroop and emotional Stroop recipes,P2,B185;B065,Condition balance scoring and reliability outputs are explicitly specified,L,,,Planned; implementation and validation remain
B195,D:G7,Additional physiology,Implement ECG PPG and HRV recipe pack,P2,B185;B009,Peak review artefacts segment suitability and named metrics qualify against reference data,L,BIO-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B196,D:G7,Additional physiology,Implement EMG acquisition and analysis pack,P2,B185;B011,Channels units filtering artefacts and named outputs qualified on stated configuration,L,BIO-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B197,D:G7,Additional acquisition,Qualify second eye EEG and EDA device families,P2,B187;B140,Each added family has its own capability timing and recovery evidence,L,,,Planned; implementation and validation remain
B198,D:G7,Advanced acquisition,Prototype wearable scene coordinate mapping,P2,B185;B159,Calibration object/surface mapping and uncertainty inspectable in a bounded demonstration,L,,,Planned; implementation and validation remain
B199,D:G7,Advanced acquisition,Prototype VR object and gaze event contract,P2,B185;B068,Scene coordinates object identity calibration and timing survive replay,L,,,Planned; implementation and validation remain
B200,D:G7,Platform learning,Build permissioned longitudinal benchmark dashboard,P2,B165;B188,Comparisons use defined recipes versions datasets and quality thresholds,M,,,Planned; implementation and validation remain
B201,D:G7,Platform learning,Benchmark end-to-end against competitor workflows,P1,B149;B113,"Matched tasks report completion time review effort correctness and transparent limitations Review UX-G16: Index evidence by workflow, before/action/after state, source/version and observed/documented/proposed status; distinguish stills from proved transitions and link missing recovery/accessibility evidence to capture tasks. Keep screenshot counts separate from measured workflow coverage.",M,BIO-G10;UX-G16,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B202,D:G7,Platform learning,Measure repeat-study and contribution health,P1,B158;B188,Metrics distinguish completed research and maintainable contributions from downloads,S,,,Planned; implementation and validation remain
B203,A:S10,Analysis automation,Explain explicit versus implicit disagreement,P0,B100;B104,Report describes measured association without claiming one measure reveals the true response,S,UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B204,A:S11,Accessibility,Provide plain-language comprehension and confidence checks,P0,B104;B113,Novice can explain result unit uncertainty and provisional status after first study,S,UX-G03;UX-G07;UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B205,A:S12,Planning governance,Re-estimate launch work from observed velocity,P0,B125,Capacity and gate forecast revised from actual cycle time with integration reserve,S,,,Planned; implementation and validation remain
B206,A:S01,Acquisition research,Run early trigger and clock feasibility spike,P0,B012,Reference hardware evidence identifies viable trigger clocks latency measurement and unresolved dependencies,M,BIO-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B207,A:S02,Webcam foundation,Extend shared schema for camera and facial outputs,P0,B009;B010,Frames gaze geometry AU model annotations and self-report retain distinct types clocks and revisions,M,UX-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B208,A:S01,Webcam foundation,Qualify exact webcam component and model licences,P0,B002,Pinned artifacts record code weights data terms WebGazer GPLv3 status and permitted distribution paths,M,ARC-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B209,A:S06,Webcam onboarding,Implement camera permissions and device selection,P0,B056;B207,Granted denied ignored prompt missing camera and unsupported constraints have usable keyboard recovery,M,UX-G06;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B210,A:S06,Webcam processing,Implement local facial geometry worker,P0,B207;B208;B209,Landmarks blendshapes and pose-related outputs preserve native names without blocking timed task loop,M,,,Planned; implementation and validation remain
B211,A:S06,Webcam synchronization,Record actual frame cadence and timing uncertainty,P0,B210;B029,"Capture arrival and inference times remain distinct and unavailable source timestamps stay unknown Review BIO-G07: Camera swap, tab suspension, inference backlog and multiple faces produce scoped invalid intervals. Model confidence never becomes assumed calibrated probability. With raw-video retention off, export records reproducibility limits; sample mode requests no permission. Region gaze does not unlock pupillometry/reading/precise saccades.",M,BIO-G03;BIO-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B212,A:S08,Webcam quality,Implement lighting pose motion and face-visibility masks,P0,B210;B079,Poor light occlusion multiple faces and head movement produce scoped quality flags and recovery guidance,M,BIO-G07;UX-G06;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B213,A:S08,Webcam recovery,Handle camera loss tab suspension and participant reset,P0,B209;B211;B062,Completed work persists gaps are explicit camera restarts revalidate and prior participant calibration is cleared,M,ARC-G03;BIO-G07;UX-G06;UX-G07;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B214,A:S07,Webcam gaze,Implement versioned webcam gaze adapter,P0,B207;B208;B209,Chosen adapter exports calibrated coordinates metadata and actual cadence without assuming lab precision,L,,,Planned; implementation and validation remain
B215,A:S07,Webcam gaze,Implement independent gaze validation and drift checks,P0,B214;B072,Held-out screen targets measure error before a study and failed validation routes to repair or permitted fallback,M,BIO-G07;UX-G06;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
